Asana,Sanskrit,English,Type,Effect on spine,Suitable for meditation,Yin Yoga variant 
Adho Mukha Shvanasana,अधोमुखश्वानासन,Downward-Facing Dog,Standing,Forward bend,,
Adho Mukha Vrikshasana,अधोमुखवृक्षासन,Downward-Facing Tree | Yoga Handstand,Balancing,,,
Akarna Dhanurasana,आकर्णधनुरासन,Shooting bow | Archer | Bow and Arrow,Sitting,,,
Anantasana,अनन्तासन,Ananta's pose | Vishnu's Couch pose,Reclining,,,
Anjaneyasana,अञ्जनेयासन,Crescent Moon,Standing,Backbend,,Dragon 
Ardha Chandrasana,अर्धचन्द्रासन,Half moon,Standing,,,
Ashtanga Namaskara,अष्टाङ्ग नमस्कार,Eight-Limbed Salutation | Caterpillar,Reclining,,,
Astavakrasana,अष्टावक्रासन,Aṣṭāvakra's pose | Eight-angled,Balancing,,,
Baddha Konasana | Bhadrasana,बद्धकोणासन,Bound angle | Cobbler's pose,Sitting,,Meditation,Butterfly 
Bakasana,बकासन,Cranee,Balancing,,,
Kakasana,ककासन,Croww,Balancing,,,
Balasana,बालासन,Child,Sitting,,,Child's 
Bhairavasana,भैरवासन,Formidable,Reclining,,,
Bharadvajasana,भरद्वाजासन,Bharadvaja's twist,Sitting,Twist,,Seated Twist 
Bhekasana,भेकासन,Frog,Reclining,Backbend,,
Bhujangasana,भुजंगासन,Cobra,Reclining,Backbend,,Seal | Sphinx 
Bhujapidasana,भुजपीडासन,Arm-pressing posture,Balancing,,,Snail 
Bidalasana,बिडालासन,Cat,Kneeling,Backbend,,
Chaturanga Dandasana,चतुरङ्गदण्डासन,Four-Limbed Staff,Reclining,,,
Chakrasana,ऊर्ध्वधनुरासन चक्रासन,Wheel,Inversion,Backbend,,
Dandasana,दण्डासन,Staff,Sitting,,,
Dhanurasana,धनुरासन,Bow,Reclining,Backbend,,
Durvasasana,दुर्वासासन,Durvasa's Pose,Standing | Balancing,,,
Garbha Pindasana,गर्भासन,Embryo in Womb,Sitting,,,
Garudasana,गरुडासन,Eagle,Standing | Balancing,,,
Gomukhasana,गोमुखासन,Cow-faced,Sitting,,Meditation,Shoelace 
Gorakshasana,गोरक्षासन,Cowherd,Sitting,,Meditation,
Halasana,हलासन,Plough,Inversion,Forward bend,,
Hanumanasana,हनुमनासन,Hanuman's Pose,Sitting,,,
