Affix,Sanskrit Meaning,Example
Adho,अधो,downward,Adho Mukha Shvanasana (downward dog)
Ardha,अर्ध,half,Ardha Padmasana (half lotus)
Baddha,बद्ध,bound,Baddha Konasana (bound angle)
Dvi,द्वि,two,Dvi Pada Kaundinyasana (two-legged Kaundinya)
Eka,एक,one,Eka Pada Shirshasana (one-legged headstand)
Parivritta,परिवृत्त,revolved,Parivritta Trikonasana (reverse triangle)
Prasarita,प्रसारित,spread out,Prasarita Padottanasana (wide stance forward bend)
Salamba,षलम्ब,supported,Salamba Shirshasana (supported headstand)
Supta,सुप्त,supine, reclining,Supta Virasana (reclining hero)
Upavishta,उपविष्ठ,seated,Upavishta Konasana (wide-angle seated forward bend)
Urdhva,ऊर्ध्व,upwards,Urdhva Dhanurasana (upwards bow)
Utthita,उत्थित,extended,Utthita Parsvakonasana (extended side angle)
Viparita,विपरीत,inverted,Viparita Dandasana (inverted staff) 
